New Run at  02/01/2016 09:16:48
, Time, RandomReward; CFUCBReward; 
data,1258716727000,12;63983;19
data,1250820191000,12;64255;19
data,1250498459000,12;92801;19
data,1276067207000,12;1117;19
data,1267814348000,12;12222;19
data,1275419016000,12;18532;19
data,1284020530000,12;99293;19
data,1288846635000,12;102311;19
data,1264505666000,12;32290;19
data,1282148540000,12;104526;19
data,1271073562000,12;94393;19
data,1268083908000,12;103341;19
data,1288245339000,12;90924;19
data,1288926488000,12;19374;19
data,1225204821000,12;22325;19
data,1287010910000,12;103374;19
data,1287217293000,12;104831;19
data,1228813764000,12;58542;19
data,1276174736000,12;12022;19
data,1247080409000,12;18468;19
data,1274710336000,12;71283;20
data,1260542210000,12;78472;20
data,1235760270000,12;95955;21
data,1289091644000,12;40553;21
data,1239312437000,12;82746;21
data,1287672050000,12;11958;21
data,1279553502000,12;21057;21
data,1274995190000,12;47569;21
data,1272682805000,12;61713;21
data,1285804293000,12;30738;21
data,1288636780000,12;468;21
data,1271166302000,12;79398;21
data,1228073380000,12;73397;22
data,1202651270000,12;81559;22
data,1281039744000,12;78406;22
data,1273094192000,13;89798;22
data,1283770732000,13;102289;22
data,1286864743000,13;101274;22
data,1251918410000,13;44893;22
data,1209598139000,13;51911;22
data,1286438305000,13;93623;22
data,1210348432000,13;58415;22
data,1287383476000,13;59470;22
data,1282551311000,13;57128;22
data,1280246134000,13;78026;22
data,1266356169000,13;54770;22
data,1198195381000,13;8961;22
data,1213793556000,13;45017;22
data,1260945005000,13;63079;22
data,1233170006000,13;49813;22
data,1287497705000,13;14442;22
data,1282089363000,13;47227;22
data,1282163851000,13;61107;22
data,1283964642000,13;33856;22
data,1283532975000,13;25467;22
data,1288775431000,13;101942;22
data,1288967862000,13;84437;22
data,1289172923000,13;18847;22
data,1247741828000,14;25221;22
data,1245759502000,14;47135;22
data,1285005627000,14;88366;22
data,1289303009000,14;55727;22
data,1288866976000,14;92656;22
data,1234237014000,14;77634;22
data,1276207692000,14;88613;22
data,1285850073000,14;55341;22
data,1282723063000,14;83160;22
data,1289079045000,14;10626;22
data,1288362952000,14;100820;22
data,1279882417000,14;104391;22
data,1289322210000,14;97096;22
data,1236070820000,14;44502;22
data,1289267718000,15;106729;22
data,1288229681000,16;26745;22
data,1250803921000,16;55200;22
data,1280781573000,16;87468;22
data,1287326210000,16;53837;22
data,1285961665000,16;56910;22
data,1288733835000,16;42820;22
data,1269634401000,16;13295;23
data,1177216060000,16;67585;23
data,1288918648000,16;73712;23
data,1250580283000,16;80812;23
data,1288465351000,16;14619;23
data,1277168898000,16;98986;23
data,1284113949000,16;3378;23
data,1268268810000,17;37841;23
data,1282043869000,17;40907;23
data,1270570553000,17;75818;23
data,1287420842000,17;27021;23
data,1279721257000,17;104108;23
data,1277815477000,17;22612;23
data,1280803785000,17;87191;23
data,1285505737000,17;52527;23
data,1282239341000,17;9321;23
data,1271918195000,17;23564;23
data,1216286638000,17;88127;23
data,1286779942000,17;19737;23
data,1287807308000,17;78005;23
data,1287645087000,17;9797;23
data,1282844002000,17;23242;23
data,1283944956000,17;90394;23
data,1288551795000,18;26706;23
data,1288465798000,18;75464;23
data,1199765044000,18;53332;24
data,1192641433000,18;74495;24
data,1249387503000,18;85246;24
data,1270668102000,18;29250;24
data,1252667439000,18;27310;24
data,1287490939000,18;24092;25
data,1288618266000,18;31637;25
data,1287855920000,18;22758;25
data,1288785050000,18;12671;25
data,1274172731000,18;25629;25
data,1273176766000,18;77496;25
data,1216853505000,18;55997;25
data,1269521954000,18;99562;25
data,1289258177000,18;60062;25
data,1282957083000,18;39372;25
data,1287730817000,18;103508;25
data,1287625956000,18;61702;25
data,1276130308000,18;94238;25
data,1281191321000,18;72254;25
data,1262684999000,18;8579;25
data,1288383323000,18;14271;25
